region,rooms,halls,towards,decoration,have_elevator,visited,attention,publishday,unit_price,area,total_price
耀江花园 ,3,2,南,精装,1,2,219,19.2,11.596400000000001,136.25,1580.0
海珀旭晖酒店式公寓 ,2,2,南,精装,1,25,90,19.2,7.4863,92.97,696.0
世茂滨江花园 ,3,2,西,精装,1,10,26,19.2,9.2044,237.93,2190.0
圣骊河滨苑 ,3,2,南,简装,1,28,147,19.2,6.9107,131.68,910.0
罗山六村 ,3,1,南,简装,0,1,113,19.2,4.876,94.34,460.0
名都古北 ,4,2,暂无数据,精装,1,3,28,19.2,7.2490000000000006,229.0,1660.0
玉华东苑 ,3,2,南北,精装,1,1,128,19.2,5.0442,118.95,600.0
静安新城七区 ,3,2,南,精装,1,3,75,19.2,6.9928,137.0,958.0
凯旋华庭 ,2,2,南北,精装,1,3,85,19.2,6.6096,111.96,740.0
尚海湾豪庭 ,5,2,南,精装,1,20,35,19.2,10.269300000000001,267.79,2750.0
新时空国际商务广场 ,1,1,西北,精装,0,17,59,19.2,4.0922,59.87,245.0
远景佳苑一期 ,2,2,南,简装,0,6,404,19.2,4.635800000000001,96.64,448.0
东上海中心 ,2,1,南,精装,1,11,394,19.2,7.2119,85.97,620.0
南方新村 ,1,1,南,简装,0,5,46,19.2,5.228800000000001,47.43,248.0
弘扬公寓 ,2,2,南,精装,0,6,32,19.2,6.6992,100.46,673.0
沁秋小区 ,2,1,南,精装,0,5,170,19.2,5.6028,58.9,330.0
新湖明珠城 ,3,2,南北,精装,1,6,103,19.2,8.3992,140.49,1180.0
三门路358弄 ,2,1,南,毛坯,0,6,275,19.2,4.6968000000000005,60.68,285.0
鼎鑫名流世家 ,2,2,南,精装,1,7,90,19.2,4.206300000000001,92.72,390.0
威宁小区 ,2,1,东,精装,0,8,90,19.2,6.1639,55.16,340.0
环球翡翠湾花园(公寓) ,2,2,南,精装,1,34,157,19.2,5.8226,94.46,550.0
景峰苑 ,2,1,南,简装,0,6,40,19.2,5.0333000000000006,61.59,310.0
中远两湾城 ,3,2,南北,精装,1,25,119,19.2,6.6551,132.23,880.0
绿地东上海 ,3,2,东,精装,1,4,24,19.2,4.6169,134.29,620.0
控江四村 ,2,1,南,精装,0,35,59,19.2,5.305400000000001,42.41,225.0
中信泰富又一城 ,2,2,南,简装,1,47,173,19.2,3.2422,92.53,300.0
秋水云庐 ,3,2,南,简装,1,0,119,19.2,8.2254,145.89,1200.0
振宏小区 ,2,1,南,精装,0,6,89,19.2,5.7693,65.0,375.0
万达城市公寓 ,2,2,南北,精装,1,0,29,19.2,5.398000000000001,87.07,470.0
罗山花苑 ,2,2,南,精装,0,26,105,19.2,9.7143,70.0,680.0
朗诗绿色街区 ,3,2,南,精装,1,5,97,19.2,4.391900000000001,118.4,520.0
好旺花苑 ,1,1,南,精装,0,5,70,19.2,5.1751000000000005,45.99,238.0
新虹桥雅苑 ,2,2,南,简装,1,7,101,19.2,5.041,95.22,480.0
三林安居苑 ,1,1,南,简装,0,8,254,19.2,5.4859,47.03,258.0
祥源福邸 ,2,2,南北,精装,1,6,66,19.2,4.1774000000000004,86.18,360.0
杉林新月环林东路879弄 ,2,1,南北,其他,0,10,84,19.2,5.2797,73.49,388.0
中信和平家园 ,2,2,南北,精装,1,8,49,19.2,8.711,90.69,790.0
莘松三村 ,2,1,南,精装,0,10,9,23.0,6.2122,57.79,359.0
紫叶花园东园 ,2,1,暂无数据,简装,0,5,104,19.2,5.171200000000001,68.65,355.0
翠湖天地嘉苑 ,2,2,南,精装,1,8,214,19.2,13.8632,134.89,1870.0
水霞小区 ,2,1,南,简装,0,4,47,19.2,7.591900000000001,49.0,372.0
仁恒河滨城 ,3,2,南,精装,1,15,204,19.2,9.1548,131.08,1200.0
银泰花园(公寓) ,3,2,南,精装,1,9,79,19.2,8.4215,116.37,980.0
贝港二区 ,2,1,南,简装,0,11,62,19.2,2.2815000000000003,78.46,179.0
古北御庭 ,2,2,南,精装,1,5,63,19.2,9.6255,104.93,1010.0
锦鸿公寓 ,1,1,南,其他,1,10,93,19.2,3.7396000000000003,68.19,255.0
钦州公寓 ,2,1,南,精装,1,43,202,19.2,5.8487,69.76,408.0
虹祺花苑(公寓) ,3,2,东南南,精装,1,27,84,19.2,5.5032000000000005,145.37,800.0
大唐盛世花园 ,2,2,南,精装,1,26,10,19.2,10.920300000000001,100.73,1100.0
维多利亚(公寓) ,2,2,南,简装,1,17,31,19.2,5.8702000000000005,139.69,820.0
佳信都市花园(公寓) ,7,2,南,简装,1,1,80,19.2,7.2001,261.11,1880.0
延平大厦 ,2,2,东南,精装,1,1,96,19.2,7.3966,116.27,860.0
佳乐苑 ,3,2,南,毛坯,0,2,66,19.2,2.4852000000000003,124.34,309.0
爱邦大厦 ,2,2,西北,毛坯,1,6,53,19.2,4.2071000000000005,96.98,408.0
新凯城香樟苑 ,2,1,南,毛坯,1,17,179,19.2,2.9374000000000002,68.02,199.8
古美西路316弄 ,2,1,南,其他,0,21,41,19.2,4.9166,77.29,380.0
恒丰大楼(静安) ,1,1,东南,简装,1,21,141,19.2,6.5109,59.9,390.0
经纬阳光水岸家园(一期) ,1,2,南,精装,1,28,80,19.2,5.0715,60.14,305.0
金杨七街坊 ,2,1,南,简装,0,20,136,19.2,4.6224,70.31,325.0
临沂大楼 ,2,2,南,其他,1,1,41,19.2,5.7778,88.27,510.0
中环家园 ,3,2,南,精装,1,3,29,19.2,6.46,131.58,850.0
申江豪城 ,2,2,南,简装,0,24,109,19.2,6.4679,91.22,590.0
上海绿城 ,3,2,暂无数据,精装,1,35,82,19.2,9.4939,136.51,1296.0
江临天下 ,3,2,南,精装,1,34,161,19.2,8.8632,129.75,1150.0
大唐盛世花园 ,6,2,南,精装,1,11,104,19.2,7.3441,215.14,1580.0
经纬学府涵青花园(二期) ,3,2,南,精装,1,12,8,19.2,4.8361,122.0,590.0
融创滨江壹号院 ,3,2,西南,精装,1,1,51,19.2,10.3254,217.91,2250.0
上海绿城 ,3,2,南,简装,1,43,62,19.2,8.7066,127.49,1110.0
新领地 ,3,2,东北,精装,1,41,411,19.2,3.8202000000000003,125.65,480.0
十字街大楼 ,3,2,南,毛坯,0,1,72,19.2,2.3205,94.81,220.0
西湖苑 ,2,1,南,精装,0,2,130,19.2,4.4423,50.65,225.0
汪家井小区 ,1,1,南,精装,0,3,110,19.2,4.652200000000001,45.57,212.0
泾东小区 ,1,1,南,简装,1,7,81,19.2,6.8863,53.73,370.0
百花新村 ,2,2,暂无数据,其他,0,4,87,19.2,3.2338,77.0,249.0
李园二村 ,2,1,南,简装,0,4,173,19.2,2.4375,62.36,152.0
三林新村(永泰路468弄) ,2,2,南,简装,1,24,115,19.2,5.010800000000001,83.82,420.0
紫荆新苑 ,3,2,南,简装,0,5,66,19.2,7.056500000000001,119.04,840.0
万科假日风景(公寓) ,3,2,南,精装,1,22,27,19.2,6.193300000000001,138.86,860.0
世茂滨江花园 ,2,2,东南,精装,1,29,10,19.2,9.3512,139.02,1300.0
乐业五村 ,2,1,南,简装,0,15,30,13.0,3.1245000000000003,56.01,175.0
同润蓝美俊庭 ,2,2,南,毛坯,0,6,145,19.2,2.055,92.46,190.0
中鼎豪园 ,3,2,南,毛坯,1,7,53,19.2,5.1692,138.32,715.0
保利叶语(二期)(公寓) ,4,2,南西北,毛坯,1,16,197,19.2,5.0235,123.42,620.0
远洋香奈 ,3,2,南,毛坯,1,11,104,19.2,3.8092,115.51,440.0
新天地荻泾花园 ,3,2,南,毛坯,1,11,179,19.2,3.7827,93.85,355.0
万科朗润园 ,2,2,南,精装,0,14,254,19.2,5.7785,91.72,530.0
中环一号(一期) ,2,2,南,毛坯,1,0,274,19.2,4.7439,97.39,462.0
仁恒森兰雅苑 ,4,2,南,精装,1,18,86,19.2,7.3481000000000005,181.0,1330.0
杉林新月环林东路879弄 ,3,1,南北,简装,0,16,203,19.2,4.6347000000000005,74.44,345.0
思浦小区 ,2,0,南,简装,0,10,245,19.2,5.0360000000000005,48.65,245.0
陆家嘴花园(一期) ,3,2,南,精装,1,18,64,19.2,9.5456,146.56,1399.0
新浦江城(江栀路350弄) ,2,2,南北,毛坯,1,11,41,19.2,5.9093,89.69,530.0
金瓯万国大厦 ,3,2,南北,精装,1,14,57,19.2,8.3123,126.32,1050.0
金坤花园 ,3,2,南北,精装,0,17,54,19.2,4.8177,134.92,650.0
汇丰沁苑 ,3,2,南北,毛坯,1,11,24,19.2,3.701,135.1,500.0
浦润苑 ,2,2,南,毛坯,1,17,117,19.2,3.2536,80.22,261.0
曹家巷小区 ,2,1,南北,简装,0,9,17,19.2,8.3145,52.92,440.0
中星海上景庭 ,3,2,南,精装,1,12,15,19.2,8.3062,150.49,1250.0
创世纪花园 ,3,2,南,简装,1,19,54,19.2,7.5673,137.17,1038.0
成亿宝盛家苑 ,2,2,南,简装,0,17,30,19.2,3.5497,73.81,262.0
耀江花园 ,3,2,南,精装,1,0,11,15.0,11.723700000000001,151.83,1780.0
盛达家园 ,2,2,南北,简装,1,5,61,19.2,4.1567,91.42,380.0
中城绿苑 ,2,2,南,简装,1,1,8,19.2,6.3281,85.65,542.0
证大家园(二期) ,2,2,南,精装,0,3,127,19.2,7.0516000000000005,84.52,596.0
园南二村 ,2,1,南,简装,0,1,37,19.2,7.0372,58.12,409.0
上海绿城 ,3,2,南,精装,1,2,138,19.2,8.1204,125.61,1020.0
太阳都市花园 ,3,2,南,精装,1,1,33,19.2,10.5245,171.03,1800.0
新梅共和城 ,3,2,南,简装,1,19,166,19.2,7.0633,113.97,805.0
印象春城 ,3,2,南,精装,1,2,97,19.2,4.4797,136.17,610.0
成亿家园 ,2,2,南北,简装,0,0,53,19.2,5.675400000000001,107.13,608.0
