region,city,rooms,halls,towards,decoration,have_elevator,visited,attention,publishday,popular,unit_price,area,total_price
丽泽兰馨苑 ,S,1,1,S,1,0,17,183,19.2,3.4792,1.9298,60.11,116.0
光复新苑 ,S,3,2,S N,3,0,9,772,19.2,12.3906,5.9656,90.52,540.0
荣域飘鹰锦和花园(公寓) ,S,2,2,S,1,1,2,397,19.2,6.276,3.5912,90.5,325.0
妙境路627弄 ,S,2,2,S,2,0,24,234,19.2,4.5312,2.7962,89.05,249.0
荣域飘鹰锦和花园(公寓) ,S,2,2,S N,3,1,21,197,19.2,3.8438,4.4314,86.88,385.0
翰锦苑 ,S,3,2,S N,3,1,2,290,19.2,4.6042,6.4427,114.86,740.0
新家坡园景苑 ,S,1,2,SE,3,1,12,43,19.2,1.1094,8.875,76.62,680.0
金龙花苑牡丹园 ,S,2,1,S,2,0,11,94,19.2,1.8698,6.610200000000002,69.59,460.0
富丽公寓(西区) ,S,3,2,S,2,0,10,102,19.2,1.9583,4.622,108.18,500.0
大华锦绣华城(十六街区)(公寓) ,S,2,1,SE,2,1,12,226,19.2,3.9687,6.731000000000001,70.57,475.0
万科白马花园(公寓) ,S,3,2,S,3,0,13,125,19.2,2.4271,3.5678,88.29,315.0
美林小城 ,S,3,2,S,0,1,19,85,19.2,2.0208,4.0683,115.53,470.0
东陆新村五街坊 ,S,2,1,S,1,0,16,40,19.2,1.2083,6.1831000000000005,71.0,439.0
仁恒东郊花园 ,S,2,2,S,3,1,13,152,19.2,2.849,6.6375,93.41,620.0
兴浦新村 ,S,2,1,S,2,0,15,232,19.2,4.1719,3.9075,63.98,250.0
大名城名郡 ,S,3,2,S,3,0,9,40,19.2,0.9531,3.2387,88.0,285.0
通河六村 ,S,2,1,S,0,0,16,55,19.2,1.4427,3.6484,54.82,200.0
耀江花园 ,S,2,2,S,3,1,4,103,19.2,1.7552,11.6708,111.39,1300.0
广洋苑 ,S,3,2,S N,2,0,4,73,19.2,1.2865,7.931,85.74,680.0
德安大厦 ,S,2,1,S,2,1,16,18,19.2,0.8646,7.3552,99.25,730.0
广中扩大小区 ,S,2,1,S,3,0,14,145,19.2,2.776,5.4138,61.88,335.0
好日子大家园B区 ,S,2,1,S,1,0,14,43,19.2,1.1823,4.0302,75.68,305.0
海珀旭晖酒店式公寓 ,S,2,2,S,3,1,85,21,19.2,3.4271,8.1061,93.14,755.0
博学家园 ,S,2,1,S N,1,1,20,101,19.2,2.3073,5.9229,78.51,465.0
翠湖天地隽荟 ,S,3,2,S,3,1,25,17,19.2,1.1771,18.6112,180.0,3350.0
大宁金茂府 ,S,3,2,S N,3,1,23,17,15.0,1.4133,10.0088,159.86,1600.0
新宏安大厦 ,S,2,2,S,2,1,0,91,19.2,1.4219,7.6874,107.97,830.0
皇都花园(公寓) ,S,3,2,S,3,0,14,56,19.2,1.3854,6.5204,176.37,1150.0
紫叶花园 ,S,1,1,S,2,0,3,26,19.2,0.5156,4.968999999999999,48.3,240.0
白金湾府邸 ,S,3,2,S,3,1,6,52,19.2,1.0312,9.3432,278.28,2600.0
恒大华城东林苑 ,S,3,1,S,2,0,8,277,19.2,4.6198,5.9224000000000006,79.36,470.0
金桥瑞仕花园 ,S,2,2,S,3,1,11,9,25.0,0.416,9.1841,115.2,1058.0
真北二街坊 ,S,2,1,SE,1,1,1,23,19.2,0.3958,4.7471000000000005,73.52,349.0
航华四村 ,S,2,1,S,0,0,8,152,19.2,2.6667,3.8306,66.57,255.0
美邻苑 ,S,2,1,S,3,0,6,111,19.2,1.9531,4.1063,73.06,300.0
中海馨园 ,S,3,2,S,2,1,9,64,19.2,1.3281,7.7948,144.97,1130.0
慧芝湖花园 ,S,2,2,S,3,1,22,213,19.2,4.1302,9.0074,79.38,715.0
龙湖郦城 ,S,3,2,S N,0,1,24,119,19.2,2.7344,4.2219999999999995,104.69,442.0
静安新城七区 ,S,3,2,S,2,1,6,89,19.2,1.6094,6.713500000000002,103.97,698.0
红墅1858(公寓) ,S,3,2,S,2,1,6,61,19.2,1.1719,3.6831,89.6,330.0
仁恒河滨城 ,S,3,2,S N,3,1,11,5,19.2,0.4792,10.189,161.94,1650.0
光华园 ,S,3,1,S,1,0,6,30,19.2,0.6875,8.366200000000001,81.28,680.0
中芯花园(公寓) ,S,2,2,S,3,1,13,358,19.2,6.0677,6.1850000000000005,101.86,630.0
金水苑 ,S,3,2,S N,2,0,7,131,19.2,2.3021,1.7962,133.62,240.0
城中花园 ,S,3,2,S N,3,1,19,18,19.2,0.974,4.2554,122.2,520.0
仁恒河滨城 ,S,3,2,S,0,1,22,50,19.2,1.5833,10.0507,136.31,1370.0
万科蓝山 ,S,3,2,S,3,0,6,9,19.2,0.3594,5.2729,223.79,1180.0
棕榈滩海景城 ,S,2,2,S N,1,0,9,75,19.2,1.5,1.8041,90.35,163.0
翔和雅苑 ,S,2,2,S,1,0,33,262,19.2,5.2969,3.5907,70.46,253.0
米兰诺贵都 ,S,2,2,S,3,1,28,98,19.2,2.5521,3.5417,87.53,310.0
高兴花园 ,S,2,1,S,2,0,34,50,19.2,2.0208,4.8572000000000015,70.0,340.0
浦江丽都 ,S,2,2,S N,1,1,36,153,19.2,3.7031,3.1825,74.47,237.0
范东铁路小区 ,S,2,1,S,3,0,3,12,11.0,0.5182,7.237,61.49,445.0
黄浦新苑(公寓) ,S,3,2,S,3,1,1,9,8.0,0.425,8.7787,143.53,1260.0
银河新都 ,S,2,1,S,3,1,2,9,6.0,0.6833,4.7015,67.0,315.0
绿地世纪城(二期) ,S,3,2,S N,3,1,27,132,19.2,3.0469,7.9434,113.05,898.0
联洋花园(二期) ,S,3,2,S,3,1,5,43,19.2,0.8542,8.578000000000001,149.22,1280.0
瑞嘉苑 ,S,2,2,暂无数,0,1,1,122,19.2,1.9427,8.183200000000001,90.43,740.0
