region,rooms,halls,towards,decoration,have_elevator,visited,attention,publishday,unit_price,area,total_price
新亚洲体育城星宇园 ,3,2,东南,毛坯,0,2,0,19.0,1.2308000000000001,130.0,160.0
世纪城惜春苑 ,4,2,东南,毛坯,0,1,0,19.0,1.1612,159.33,185.0
新亚洲体育城万景园 ,4,2,南北,精装,0,0,0,19.0,1.3584,158.28,215.0
山海湾 ,3,2,南,毛坯,0,0,0,19.0,1.8009000000000002,127.72,230.0
新亚洲体育城星体花园南区 ,3,2,东南,精装,0,6,11,19.0,1.0177,113.0,115.0
枫林盛景(东区) ,4,2,南,精装,0,7,1,19.0,1.0492000000000001,122.0,128.0
仟村佳宇小区 ,4,2,西南东北,精装,0,1,0,19.0,1.2178,139.6,170.0
中豪.悦城花园 ,3,2,南,精装,0,0,3,19.0,1.0748,107.0,115.0
滇池卫城橡尚 ,2,2,西,精装,0,1,0,19.0,1.7242000000000002,89.9,155.0
滇池卫城锦尚 ,3,2,南,精装,0,3,5,19.0,1.5731000000000002,89.0,140.0
滇池世界花苑 ,3,2,南北,精装,0,0,4,19.0,1.3534000000000002,133.0,180.0
滇池卫城锦尚 ,3,2,南北,精装,0,0,0,19.0,1.8149000000000002,135.0,245.0
山海湾 ,3,2,南,毛坯,0,1,0,19.0,2.0,121.0,242.0
万科魅力之城 ,3,2,西,精装,0,17,19,19.0,1.2224000000000002,89.99,110.0
山海湾 ,3,2,西南,毛坯,0,5,3,19.0,1.4984000000000002,86.76,130.0
陶然雅苑 ,3,2,南北,简装,0,0,1,19.0,1.3504,137.0,185.0
新亚洲体育城星体花园北区 ,3,2,东南,精装,0,1,8,19.0,1.044,91.0,
省公安厅家属院 ,2,1,西南,精装,0,0,2,19.0,1.9569,51.0,99.8
昆都雅苑 ,2,1,东西,简装,0,1,8,19.0,1.1831,70.16,
时代俊园 ,4,2,南北,毛坯,0,0,2,19.0,0.8752000000000001,143.98,126.0
时代俊园 ,4,2,东西,毛坯,0,0,2,19.0,0.8542000000000001,144.0,123.0
山海湾 ,3,2,西南,毛坯,0,0,0,19.0,1.6973,132.57,225.0
春城慧谷 ,3,2,西南,其他,0,2,5,19.0,1.0245,100.54,103.0
新亚洲体育城星宇园 ,3,2,东南,精装,0,0,2,19.0,1.1539000000000001,130.0,150.0
新亚洲体育城万景园 ,4,3,东南,其他,0,1,1,31.0,0.9085000000000001,306.0,278.0
时代俊园 ,5,2,南北,其他,0,0,3,31.0,0.7881,184.0,145.0
山海湾 ,5,2,东,其他,0,0,0,29.0,1.8462,195.0,360.0
润城 ,3,2,西南,其他,0,2,1,26.0,1.2196,123.0,150.0
润城 ,3,2,东北,其他,0,2,3,26.0,1.2308000000000001,130.0,160.0
东康花园 ,2,2,南北,其他,0,1,4,25.0,1.0985,77.38,
时代俊园 ,3,2,南北,其他,0,0,3,25.0,0.796,98.0,
时代俊园 ,3,2,南北,其他,0,0,1,25.0,0.8164,98.0,
省公安厅家属院 ,2,1,东南南,其他,0,6,0,25.0,1.9892,55.3,110.0
时代俊园 ,3,2,西北,毛坯,0,1,2,25.0,0.8164,98.0,
时代俊园 ,3,2,东南,毛坯,0,3,1,25.0,0.9135000000000001,104.0,
