region,city,rooms,halls,towards,decoration,have_elevator,visited,attention,publishday,popular,unit_price,area,total_price
昆明市教工二幼儿园宿舍 ,K,2,2,SE NW,0,0,6,9,19.0,0.3632,1.3,50.0,
新亚洲体育城星宇园 ,K,3,2,SE,3,0,0,0,19.0,0.0,1.3446,119.0,160.0
禧瑞都 ,K,3,2,SE,2,0,0,0,19.0,0.0,1.1021,147.0,162.0
金色交响家园 ,K,4,2,SE,2,0,1,1,15.0,0.0667,1.4477,105.0,152.0
金碧阳光商住楼 ,K,3,2,S N,0,0,1,3,19.0,0.0842,1.8196,129.15,235.0
融创春风十里 ,K,3,2,S N,1,0,1,1,4.0,0.25,1.2723,94.32,120.0
电科所住宅 ,K,3,2,E,0,0,0,0,9.0,0.0,1.5058,92.98,140.0
万科魅力之城 ,K,3,2,SW,0,0,4,9,19.0,0.2895,1.296,114.97,149.0
万科魅力之城 ,K,2,2,SW S,0,0,4,13,19.0,0.3526,1.285,73.0,93.8
虹山煤气公司宿舍 ,K,2,1,SW,0,0,1,3,15.0,0.1067,1.0134,55.26,
新亚洲体育城星汇园 ,K,3,2,SW,0,0,0,2,14.0,0.0429,1.1429,105.0,120.0
东鸣佳苑 ,K,5,2,S N,1,0,0,0,15.0,0.0,1.009,223.0,225.0
南方公园 ,K,5,3,SE,0,0,0,0,14.0,0.0,1.6019999999999999,103.0,165.0
时代俊园 ,K,4,2,E W,0,0,0,1,11.0,0.0273,0.8681000000000001,144.0,125.0
圣世一品 ,K,3,2,SE,0,0,0,0,11.0,0.0,1.125,120.0,135.0
春晖小区春都里西院 ,K,3,2,S N,0,0,0,0,8.0,0.0,0.9767,93.18,
思兰雅苑 ,K,3,2,SW,0,0,0,0,7.0,0.0,0.6805,169.0,115.0
兴杰大厦 ,K,3,2,E,0,0,0,0,4.0,0.0,1.8832,130.1,245.0
云辰花园 ,K,4,2,S,3,0,1,1,19.0,0.0526,1.7209999999999999,151.08,260.0
清水佳湖雅居 ,K,4,2,SW,0,0,0,0,19.0,0.0,1.0546,165.95,175.0
