attention,url,unit_price,region,house_info,visited,publishday,total_price
33,,76810,世茂滨江花园 , | 3室2厅 | 236.95平米 | 西北 | 精装 | 有电梯,22,,1820
17,,39407,凯利大楼 , | 3室2厅 | 139.57平米 | 南 | 精装 | 有电梯,24,20,550
2,,97725,老西门新苑 , | 3室2厅 | 143.26平米 | 南 | 精装 | 有电梯,0,18,1400
40,,47306,众众德尚世嘉 , | 2室2厅 | 107.81平米 | 南 | 简装 | 无电梯,0,,510
62,,51597,万科优诗美地 , | 3室2厅 | 124.04平米 | 南 | 简装 | 无电梯,11,,640
33,,118386,盛大金磐 , | 3室2厅 | 194.28平米 | 南 | 精装 | 有电梯,9,,2300
527,,61858,静安恬园 , | 3室2厅 | 137.25平米 | 南 | 精装,9,,849
134,,52978,四季绿城 , | 3室2厅 | 106.65平米 | 南 | 精装 | 无电梯,8,,565
161,,111411,中凯城市之光(徐汇) , | 4室2厅 | 403.91平米 | 南 | 精装 | 有电梯,6,,4500
92,,106613,淡水湾花园 , | 3室2厅 | 148.95平米 | 南 | 精装 | 有电梯,1,,1588
54,,76946,涵合园(公寓) , | 3室2厅 | 174.8平米 | 南 | 精装 | 有电梯,2,,1345
402,,79715,丝庐花语 , | 2室2厅 | 106.63平米 | 南 | 精装 | 有电梯,4,,850
219,,115964,耀江花园 , | 3室2厅 | 136.25平米 | 南 | 精装 | 有电梯,2,,1580
90,,74863,海珀旭晖酒店式公寓 , | 2室2厅 | 92.97平米 | 南 | 精装 | 有电梯,25,,696
26,,92044,世茂滨江花园 , | 3室2厅 | 237.93平米 | 西 | 精装 | 有电梯,10,,2190
147,,69107,圣骊河滨苑 , | 3室2厅 | 131.68平米 | 南 | 简装 | 有电梯,28,,910
113,,48760,罗山六村 , | 3室1厅 | 94.34平米 | 南 | 简装 | 无电梯,1,,460
28,,72490,名都古北 , | 4室2厅 | 229平米 | 暂无数据 | 精装 | 有电梯,3,,1660
128,,50442,玉华东苑 , | 3室2厅 | 118.95平米 | 南 北 | 精装 | 有电梯,1,,600
75,,69928,静安新城七区 , | 3室2厅 | 137平米 | 南 | 精装 | 有电梯,3,,958
85,,66096,凯旋华庭 , | 2室2厅 | 111.96平米 | 南 北 | 精装 | 有电梯,3,,740
35,,102693,尚海湾豪庭 , | 5室2厅 | 267.79平米 | 南 | 精装 | 有电梯,20,,2750
59,,40922,新时空国际商务广场 , | 1室1厅 | 59.87平米 | 西北 | 精装,17,,245
404,,46358,远景佳苑一期 , | 2室2厅 | 96.64平米 | 南 | 简装 | 无电梯,6,,448
394,,72119,东上海中心 , | 2室1厅 | 85.97平米 | 南 | 精装 | 有电梯,11,,620
46,,52288,南方新村 , | 1室1厅 | 47.43平米 | 南 | 简装 | 无电梯,5,,248
32,,66992,弘扬公寓 , | 2室2厅 | 100.46平米 | 南 | 精装 | 无电梯,6,,673
170,,56028,沁秋小区 , | 2室1厅 | 58.9平米 | 南 | 精装 | 无电梯,5,,330
103,,83992,新湖明珠城 , | 3室2厅 | 140.49平米 | 南 北 | 精装 | 有电梯,6,,1180
275,,46968,三门路358弄 , | 2室1厅 | 60.68平米 | 南 | 毛坯 | 无电梯,6,,285
90,,42063,鼎鑫名流世家 , | 2室2厅 | 92.72平米 | 南 | 精装 | 有电梯,7,,390
90,,61639,威宁小区 , | 2室1厅 | 55.16平米 | 东 | 精装 | 无电梯,8,,340
157,,58226,环球翡翠湾花园(公寓) , | 2室2厅 | 94.46平米 | 南 | 精装 | 有电梯,34,,550
40,,50333,景峰苑 , | 2室1厅 | 61.59平米 | 南 | 简装 | 无电梯,6,,310
119,,66551,中远两湾城 , | 3室2厅 | 132.23平米 | 南 北 | 精装 | 有电梯,25,,880
24,,46169,绿地东上海 , | 3室2厅 | 134.29平米 | 东 | 精装 | 有电梯,4,,620
59,,53054,控江四村 , | 2室1厅 | 42.41平米 | 南 | 精装 | 无电梯,35,,225
173,,32422,中信泰富又一城 , | 2室2厅 | 92.53平米 | 南 | 简装 | 有电梯,47,,300
119,,82254,秋水云庐 , | 3室2厅 | 145.89平米 | 南 | 简装 | 有电梯,0,,1200
89,,57693,振宏小区 , | 2室1厅 | 65平米 | 南 | 精装 | 无电梯,6,,375
29,,53980,万达城市公寓 , | 2室2厅 | 87.07平米 | 南 北 | 精装 | 有电梯,0,,470
105,,97143,罗山花苑 , | 2室2厅 | 70平米 | 南 | 精装 | 无电梯,26,,680
97,,43919,朗诗绿色街区 , | 3室2厅 | 118.4平米 | 南 | 精装 | 有电梯,5,,520
70,,51751,好旺花苑 , | 1室1厅 | 45.99平米 | 南 | 精装 | 无电梯,5,,238
101,,50410,新虹桥雅苑 , | 2室2厅 | 95.22平米 | 南 | 简装 | 有电梯,7,,480
254,,54859,三林安居苑 , | 1室1厅 | 47.03平米 | 南 | 简装 | 无电梯,8,,258
66,,41774,祥源福邸 , | 2室2厅 | 86.18平米 | 南 北 | 精装 | 有电梯,6,,360
84,,52797,杉林新月环林东路879弄 , | 2室1厅 | 73.49平米 | 南 北 | 其他 | 无电梯,10,,388
49,,87110,中信和平家园 , | 2室2厅 | 90.69平米 | 南 北 | 精装 | 有电梯,8,,790
9,,62122,莘松三村 , | 2室1厅 | 57.79平米 | 南 | 精装 | 无电梯,10,23,359
104,,51712,紫叶花园东园 , | 2室1厅 | 68.65平米 | 暂无数据 | 简装 | 无电梯,5,,355
214,,138632,翠湖天地嘉苑 , | 2室2厅 | 134.89平米 | 南 | 精装 | 有电梯,8,,1870
47,,75919,水霞小区 , | 2室1厅 | 49平米 | 南 | 简装 | 无电梯,4,,372
204,,91548,仁恒河滨城 , | 3室2厅 | 131.08平米 | 南 | 精装 | 有电梯,15,,1200
79,,84215,银泰花园(公寓) , | 3室2厅 | 116.37平米 | 南 | 精装 | 有电梯,9,,980
62,,22815,贝港二区 , | 2室1厅 | 78.46平米 | 南 | 简装 | 无电梯,11,,179
63,,96255,古北御庭 , | 2室2厅 | 104.93平米 | 南 | 精装 | 有电梯,5,,1010
93,,37396,锦鸿公寓 , | 1室1厅 | 68.19平米 | 南 | 其他 | 有电梯,10,,255
202,,58487,钦州公寓 , | 2室1厅 | 69.76平米 | 南 | 精装 | 有电梯,43,,408
84,,55032,虹祺花苑(公寓) , | 3室2厅 | 145.37平米 | 东南 南 | 精装 | 有电梯,27,,800
